,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
40,Hudson McHugh - LEICHHARDT,"133 Francis Street, Lilyfield",Contact Agent,House,3 bedrooms,1 bathroom,1 parking space,N/A
41,Century 21 Adamson's The Property People -   ,"161  Kareena Road, Miranda",AUCTION,House,3 bedrooms,1 bathroom,2 parking spaces,615 m² land size
42,Belle Property - Cessnock,"46 Kearsley Street, Bellbird","$620,000 - $650,000",House,4 bedrooms,2 bathrooms,2 parking spaces,930.8 m² land size
43,The Property Co. Realty - PENRITH,"50 Aldebaran Street, Cranebrook","$649,000 - $679,000",House,4 bedrooms,2 bathrooms,2 parking spaces,523 m² land size
44,Rawson Homes - Rhodes,"4231 Mulvihill Crescent, Leppington","$767,000",House,4 bedrooms,2 bathrooms,2 parking spaces,375 m² land size
45,Professionals - Ermington,"111 Antoine Street, Rydalmere","Buyers Guide $1,000,000",House,3 bedrooms,1 bathroom,2 parking spaces,N/A
46,Shores Real Estate - AVALON BEACH,"10/27 Seabeach Avenue, Mona Vale","$600,000 - $660,000",Unit,1 bedroom,1 bathroom,1 parking space,64 m² land size
47,Harcourts Southern Highlands - Moss Vale,"3 Elmswood Court, Bundanoon","Price Guide $935,000",House,4 bedrooms,2 bathrooms,4 parking spaces,"2,000 m² land size"
48,Ray White - Colyton,"Lot 1/25 Lisbon Street, Mount Druitt","$630,000-$660,000",House,4 bedrooms,3 bathrooms,3 parking spaces,225 m² land size
49,John B.Grant Real Estate - Chester Hill,"3/119-121 Proctor Parade, Chester Hill","$599,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,214 m² building size
50,Watkins Real Estate - Sutherland,"7/2-4 Adelong Street, Sutherland","$610,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
51,LJ Hooker - Strathfield,"10/6-8 The Crescent, Homebush","$650,000 - $680,000",Apartment,2 bedrooms,2 bathrooms,2 parking spaces,103 m² building size
52,LJ Hooker - Strathfield,"5/11-19 Mandemar Avenue, Homebush West","$550,000 - $590,000",Apartment,2 bedrooms,1 bathroom,1 parking space,104 m² building size
53,Drake Real Estate - Narrabeen,"2 Eungai Place, North Narrabeen","$1,200,000",House,3 bedrooms,1 bathroom,1 parking space,873 m² land size
54,Reston Real Estate - Blacktown,"3 Dening close, Chipping Norton","$780,000",House,3 bedrooms,1 bathroom,3 parking spaces,809 m² land size
55,One Agency Elite Property Group - ALBION PARK,"1/22 Darling Drive, Albion Park","$575,000-$605,000",Townhouse,4 bedrooms,2 bathrooms,2 parking spaces,200.2 m² building size
56,Phillips Pantzer Donnelley - WOOLLAHRA,"5/26 Howard Street, Randwick",Sat 16 Feb,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
57,Ray White Austral,"6 Thursday Place, Green Valley",AUCTION 16TH FEB 1:45PM,House,5 bedrooms,3 bathrooms,1 parking space,562 m² land size
58,Belle Property Killcare - HARDYS BAY,"7 Babs Road, Killcare Heights",Auction,House,4 bedrooms,3 bathrooms,2 parking spaces,721 m² land size
59,Belle Property Killcare - HARDYS BAY,"26 Bream Road, Ettalong Beach","$880,000 to $920,000",House,4 bedrooms,1 bathroom,2 parking spaces,405 m² land size
60,Belle Property Killcare - HARDYS BAY,"67 Wattle Tree Road, Holgate","Guide $1,450,000",Acreage,4 bedrooms,3 bathrooms,2 parking spaces,1.01 ha land size
61,Cobden & Hayson - Drummoyne,"165/4 Dolphin Close, Chiswick",Contact Agent,Apartment,1 bedroom,1 bathroom,1 parking space,N/A
62,Raine & Horne - Bardwell Park,"9 Nelson Road, Earlwood",Auction,House,2 bedrooms,1 bathroom,1 parking space,449 m² land size
63,Raine & Horne - Terrigal-Avoca Beach,"4/170 Avoca Drive, Avoca Beach","$695,000-$750,000",Unit,2 bedrooms,1 bathroom,1 parking space,140 m² building size
64,Elders Real Estate - Port Macquarie,"2/27 Cornwallis Close, Port Macquarie","$990,000 - $1,049,000",House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
65,Cobden & Hayson - Drummoyne,"2/183 Hampden Road, Wareemba",Contact Agent,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
66,One Agency JD Property Agents - FAIRY MEADOW,"128 Meadow Street, Fairy Meadow","$679,000 - $699,000",House,2 bedrooms,1 bathroom,1 parking space,N/A
67,Raine & Horne - Southern Highlands,"29 Torulosa Drive, Moss Vale","$455,000 - $495,000",Residential Land,0,0,0,"2,092 m² land size"
68,One Agency JD Property Agents - FAIRY MEADOW,"128 Meadow Street, Fairy Meadow","$679,000 - $699,000",House,2 bedrooms,1 bathroom,1 parking space,N/A
69,Raine & Horne - Southern Highlands,"29 Torulosa Drive, Moss Vale","$455,000 - $495,000",Residential Land,0,0,0,"2,092 m² land size"
70,McGrath - South Hurstville,"33 Russell Street, Oatley","Price Guide $1,900,000",House,5 bedrooms,3 bathrooms,2 parking spaces,663 m² land size
71,Ray White - Batemans Bay,"15 Wills Cresent, Denhams Beach","$749,000",House,5 bedrooms,2 bathrooms,8 parking spaces,983 m² land size
72,LJ Hooker - Greystanes  ,"52 Macquarie Road, Greystanes","Price Guide $799,000",House,3 bedrooms,3 bathrooms,0,556 m² land size
73,LJ Hooker - Greystanes  ,"50 Dahlia Street, Greystanes","$750,000-THREE BEDROOM FAMILY HOME",House,3 bedrooms,1 bathroom,1 parking space,556 m² land size
74,Cobden & Hayson - Surry Hills,"122 Redfern Street, Redfern",Contact Agent,House,1 bedroom,3 bathrooms,0,N/A
75,Harbourline Real Estate - Greenwich,"5/13 Hart Street, Lane Cove North",Contact Agent 7 Days,Apartment,2 bedrooms,2 bathrooms,2 parking spaces,N/A
76,The Agency - Illawarra,"1-3/30 Coolum Parkway, Shell Cove","Price Guide $570,000 - $610,000",Villa,3 bedrooms,2 bathrooms,2 parking spaces,N/A
77,One Agency Elite Property Group - ALBION PARK,"41 Noble Road, Albion Park",Auction unless sold prior,House,3 bedrooms,1 bathroom,1 parking space,718 m² land size
78,Our City Real Estate,"133 Anson Street, Orange",Contact Agent,House,3 bedrooms,2 bathrooms,1 parking space,967 m² land size
79,Highland Property Agents - SUTHERLAND,"22 Sandpiper Place, Woronora Heights","Auction, unless sold prior",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
80,Greg Gilbert Real Estate - CRONULLA,"202/06 Gerrale Street, Cronulla",Auction,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
81,McGrath - South Hurstville,"5/5 Oxford Street, Mortdale","Price guide $600,000 -$650,000",Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
82,"United Realty - Acreage, Residential, Prestige ","15 Yewens Circuit, Grasmere",Contact Agent,House,5 bedrooms,4 bathrooms,4 parking spaces,0.49 ha land size
83,LJ Hooker - Palm Beach,"20 Champagne Drive, Tweed Heads South","$640,000 - $670,000",House,3 bedrooms,2 bathrooms,2 parking spaces,700 m² land size
84,Link Real Estate,"546 Kemp Street, Lavington","345,000.00",House,4 bedrooms,2 bathrooms,2 parking spaces,661 m² land size
85,Century 21 McLeods - Broken Hill,"4 Casuarina Avenue, Broken Hill","$160,000",House,3 bedrooms,1 bathroom,2 parking spaces,840 m² land size
86,The Agency - Southern Highlands,"17 De Lauret Street, Mittagong","Price Guide $845,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
87,The Agency - Southern Highlands,"39 Shepherd Street, Bowral","Price Guide $1,250,000",House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
88,Jervis Bay Properties - Huskisson,"312 Elizabeth Drive, Vincentia","$2,650,000 - $2,850,000",House,6 bedrooms,4 bathrooms,0,993 m² land size
89,My Property Consultants - CAMPBELLTOWN,"10 Santana Road, Campbelltown","$750,000 - $790,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
90,Ray White - Point Clare,"14 Nimbin Road, Koolewong",New To Market,House,5 bedrooms,3 bathrooms,1 parking space,677 m² land size
91,Ray White - Macarthur Group,"2 Henry Pl, Narellan Vale","$700,000 - $750,00",House,5 bedrooms,2 bathrooms,2 parking spaces,751 m² land size
92,Domain Residential - NSW,"6/60-62 Park Street, Mona Vale","For Sale $1,950,000-$2,150,000",Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
93,One Agency Reeves Properties - BLAXLAND,"22 Meeks Crescent, Faulconbridge","Buyers Guide $669,000 - $719,000",House,4 bedrooms,1 bathroom,1 parking space,0.4 ha land size
94,Harcourts - Rouse Hill / Kellyville ,"2 Whitehall Street, Kellyville Ridge",Just Listed,House,4 bedrooms,2 bathrooms,3 parking spaces,760 m² land size
95,Laing+Simmons - Wentworthville,"409/46-50 Dunmore St, Wentworthville","$599,000 - $629,000",Unit,2 bedrooms,2 bathrooms,1 parking space,N/A
96,Property Central - Penrith,"79 Maxwell Street, South Penrith","$629,000 - $679,000",House,3 bedrooms,1 bathroom,4 parking spaces,645 m² land size
