,Agent,Address,Price,Type,No. Bedroom,No. Bathroom,No. Carpark,Land area
461,One Agency Reeves Properties - PENRITH,"19 Mason Way, Jordan Springs","Buyers Guide $659,000 - $689,000",House,4 bedrooms,2 bathrooms,1 parking space,N/A
462,Belle Property - Bowral ,"17 Myrtle Street, Bowral",Price Guide $1.45m - $1.5m,House,4 bedrooms,2 bathrooms,2 parking spaces,"1,258 m² land size"
463,PRDnationwide - Hunter Valley,"25 Stayard Drive, Bolwarra Heights","Negotiable Range $639,000 - 665,000",House,5 bedrooms,2 bathrooms,3 parking spaces,735 m² land size
464,Belle Property - Bowral ,"77 Boardman Road, Bowral","Price Guide $850,000 Motivated Vendor.",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
465,Nolan Partners - Coffs Harbour,"17 Marles Street, Coffs Harbour",Expressions of Interest,House,3 bedrooms,1 bathroom,1 parking space,767 m² land size
466,Knight Bailey - BOWRAL,"Address available on request, Burradoo","$1,765,000",House,4 bedrooms,2 bathrooms,2 parking spaces,0.47 ha land size
467,Percival Property - Port Macquarie,"1/3 Commodore Crescent, Port Macquarie","Guide $780,000 - $820,000",Unit,3 bedrooms,2 bathrooms,2 parking spaces,N/A
468,Richardson & Wrench - Narellan,"17 Pincombe Crescent, Harrington Park","$820,000 - $870,000",House,4 bedrooms,2 bathrooms,2 parking spaces,669 m² land size
469,Richardson & Wrench - Narellan,"53 Devitt Crescent, The Oaks","$549,990 - $579,990",House,3 bedrooms,1 bathroom,1 parking space,456 m² land size
470,Wiseberry - Wyong,"1/17 Brickendon Avenue, Mardi","$430,000 - $470,000",House,3 bedrooms,1 bathroom,1 parking space,308 m² land size
471,Stone Real Estate - Newcastle,"7 Courtney Close, Charlestown","$689,000 - $749,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
472,River Realty - Maitland,"7 Caitlin Close, Bolwarra Heights","Price Guide $699,000 - $749,000",House,5 bedrooms,2 bathrooms,2 parking spaces,"1,229 m² land size"
473,Ray White - Pennant Hills,"4 Barrawinga Street, Telopea",For Sale,House,5 bedrooms,2 bathrooms,1 parking space,651 m² land size
474,Ray White Surfside Properties - Ulladulla,"14 Canberra Crescent, Burrill Lake","$449,000",House,2 bedrooms,1 bathroom,2 parking spaces,443 m² land size
475,Gilmour & Orley - Kellyville,"48 Ravel Street, Seven Hills","$690,000 - $730,000",House,3 bedrooms,1 bathroom,1 parking space,556 m² land size
476,Glebe Point Real Estate,"8/14-16 O'Connor St, Chippendale",Awaiting Price Guide,Apartment,1 bedroom,1 bathroom,0,N/A
477,LJ Hooker - Yamba,"Unit 27/4 Queen Street, Yamba",Auction,Apartment,3 bedrooms,2 bathrooms,2 parking spaces,N/A
478,Landmark Tamworth - TAMWORTH,". 'Avonlee', 1299 Babbinboon Road, Somerton, Tamworth","Price Guide $1,350,000",Mixed Farming,3 bedrooms,2 bathrooms,10 parking spaces,364.62 ha land size
479,Harcourts Newcastle - NEWCASTLE,"131 Glad Gunson Drive, Eleebana","Price Guide $700,000",House,4 bedrooms,2 bathrooms,2 parking spaces,626 m² land size
480,McCormack Barber - Orange,"25 Barrett Street, Orange",New to market,House,5 bedrooms,2 bathrooms,2 parking spaces,668 m² land size
481,Kitson Property - Wagga Wagga,"34 Mullagh Crescent, Boorooma","$449,000",House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
482,LJ Hooker - Alstonville,"203 Duck Creek Mountain Road, Alstonville","$1,249,000",Acreage,4 bedrooms,3 bathrooms,6 parking spaces,N/A
483,LJ Hooker - Maclean,"3 Ashby Street, Ashby",Friday 8th February 12.30pm Maclean Services Club,House,4 bedrooms,3 bathrooms,4 parking spaces,"2,387 m² land size"
484,Belle Property - Charlestown,"56-62 Myall Street, Pindimar","$550,000",Residential Land,0,0,0,2.38 ha land size
485,Inglis Property Macarthur - Camden,"7 Bull Place, Harrington Park","$829,950",House,6 bedrooms,2 bathrooms,2 parking spaces,735.8 m² land size
486,Inglis Property Macarthur - Camden,"7 Brownlow Place, Ambarvale","$460,000 to $490,000",House,3 bedrooms,1 bathroom,1 parking space,610 m² land size
487,PRDnationwide - Port Stephens,"21 Windward Close, Corlette","$629,000",House,4 bedrooms,2 bathrooms,2 parking spaces,735 m² land size
488,Richardson & Wrench - INGLEBURN,"22 Acacia Court, Narellan Vale","$560,000 - $590,000",House,3 bedrooms,1 bathroom,1 parking space,308 m² land size
489,LJ Hooker - Maclean,"145 Patemans Road, Ashby",Friday 8th February 12.30pm Maclean Services Club,House,3 bedrooms,2 bathrooms,10 parking spaces,0.65 ha land size
490,Thrive Homes - RHODES,"4529 Proposed Road, Marsden Park","$607,300",House,3 bedrooms,2 bathrooms,1 parking space,250 m² land size
491,Realty Blue Pty Ltd - Burleigh,"56/22 Binya Avenue, Tweed Heads","Price Guide $379,000 - $389,000",Unit,2 bedrooms,2 bathrooms,2 parking spaces,N/A
492,Belle Property - Leura,"38 Farnells Road, Katoomba","$495,000 - $540,000",House,2 bedrooms,1 bathroom,1 parking space,834 m² land size
493,Nolan Partners - Coffs Harbour,"15/7 Sawtell Road, Toormina","$149,500 - $164,450",Duplex/Semi-detached,1 bedroom,1 bathroom,1 parking space,N/A
494,LJ Hooker - Toongabbie,"18/12-14 Belinda Place, Mays Hill","Asking Price $560,000",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
495,My Property Consultants - CAMPBELLTOWN,"26/2 Wire Lane, Camden South","$499,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
496,Nelson Bay Real Estate - Nelson Bay,"4B Cabin Close, Salamander Bay","$499,000",Duplex/Semi-detached,3 bedrooms,2 bathrooms,1 parking space,291 m² land size
497,Starr Partners - Blacktown,"2a Mountfort Street, Lalor Park","Price Guide: $750,000 - $800,000",House,4 bedrooms,2 bathrooms,1 parking space,303 m² land size
498,Ray White - Fairy Meadow,"38 Wellington Drive, Balgownie","Price Guide $450,000-$495,000",Residential Land,0,0,0,853 m² land size
499,Musgrove Realty,"2 Wollombi Rd, Millfield","$229,000",House,1 bedroom,1 bathroom,1 parking space,719 m² land size
500,Louis Carr Glenhaven - Castle Hill,"19 Adey Place, Castle Hill",Contact Agent,Residential Land,0,0,0,0.43 ha land size
501,All Residential Real Estate - Wollongong,"6, 8 & 10 Hopetoun Lane, Oak Flats","$560,000 to $600,000",Villa,3 bedrooms,2 bathrooms,1 parking space,N/A
502,Newton Real Estate - Caringbah,"7/23 Hill Street, Woolooware",New Listing,Apartment,1 bedroom,1 bathroom,1 parking space,47 m² building size
503,Starr Partners - St Marys/Erskine Park,"4 Brushwood Street, Claremont Meadows","$799,950- $829,950",House,4 bedrooms,2 bathrooms,2 parking spaces,553 m² land size
504,McCormack Barber - Orange,"34 Monett Place, Orange",New to Market,House,3 bedrooms,1 bathroom,3 parking spaces,859 m² land size
505,Century 21 Combined - Liverpool,"42 Second Street, Warragamba","$490,000 to    $540,000",House,3 bedrooms,1 bathroom,1 parking space,N/A
506,Elders Shellharbour,"31 Belfast Avenue, Warilla","$450,000 - $495,000",House,4 bedrooms,1 bathroom,1 parking space,626 m² land size
507,Raine & Horne - Mollymook / Milton,"25 Manning Avenue, Narrawallee","$710,000",House,3 bedrooms,1 bathroom,0,556 m² land size
508,First National Real Estate - Yamba,"1/7 Claude Street, Yamba",AUCTION,Duplex/Semi-detached,2 bedrooms,1 bathroom,1 parking space,451 m² land size
509,Wauchope Real Estate - Wauchope,"9 Ellenborough Place, Wauchope","$429,000",House,4 bedrooms,2 bathrooms,1 parking space,616 m² land size
510,J Nguyen Property Agents - CANLEY VALE,"104 Banks Road, Miller","For Sale $599,000 - $629,000",House,3 bedrooms,1 bathroom,3 parking spaces,556 m² land size
511,RE/MAX Elite - Wagga Wagga,"90 Fernleigh Road, Mount Austin","$297,000",House,3 bedrooms,1 bathroom,2 parking spaces,727.2 m² land size
512,Dimosons Real Estate - PORT KEMBLA,"20 Taminga Crest, Cordeaux Heights","$1,050,000 to $1,150,000",House,5 bedrooms,3 bathrooms,2 parking spaces,612 m² land size
513,PRDnationwide - Port Stephens,"110 Government Road, Shoal Bay",Auction,House,3 bedrooms,2 bathrooms,3 parking spaces,613 m² land size
514,Century 21 Curtis & Blair,"7 Hudson Close, Medowie","$769,000",House,4 bedrooms,2 bathrooms,4 parking spaces,"3,502 m² land size"
515,Raine & Horne Ocean Shores Brunswick Heads - Ocean Shores   ,"11 /10 Balemo Drive, Ocean Shores","Price Guide $690,000-$720,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,227 m² land size
516,LJ Hooker - Baulkham Hills,"5/27-29 Tungarra Rd, Girraween","$780,000",Townhouse,4 bedrooms,2 bathrooms,2 parking spaces,N/A
517,LJ Hooker - Mona Vale,"24 Bungan Head Road, Newport",For Sale,House,5 bedrooms,4 bathrooms,2 parking spaces,"1,040 m² land size"
518,PARKINSON - Albert Park,"30 St Helena Road, Byron Bay","Price guide $1,950,000 - $2,050,000",House,4 bedrooms,2 bathrooms,6 parking spaces,0.55 ha land size
519,Dimosons Real Estate - PORT KEMBLA,"5/9-11 Clive Avenue, Warrawong","$390,000 - $420,000",Townhouse,2 bedrooms,1 bathroom,1 parking space,N/A
520,Ray White - Ingleburn,"Address available on request, Minto","$659,950",Villa,4 bedrooms,2 bathrooms,1 parking space,N/A
521,Luschwitz Real Estate - Pymble,"66 Minkara Road, Bayview",Expressions of Interest,House,5 bedrooms,6 bathrooms,9 parking spaces,0.6 ha land size
522,Livrealty,"57 Kokoda Circuit, Mount Annan","Guide $670,000 to $710,000",House,4 bedrooms,2 bathrooms,4 parking spaces,500 m² land size
523,Raine & Horne - Budgewoi,"2 Yeddenba Avenue, Blue Bay",Register Interest,House,3 bedrooms,2 bathrooms,2 parking spaces,N/A
524,Unreal Estate Coffs Coast - Coffs Harbour,"4 Dolphin Drive, Toormina","$449,500",House,3 bedrooms,1 bathroom,1 parking space,465.7 m² land size
525,Richardson & Wrench - Narellan,"104 Springs Road, Spring Farm","$835,000",House,4 bedrooms,2 bathrooms,2 parking spaces,464 m² land size
526,Belle Property - Balmain,"4 Clayton Street, Balmain","Auction Guide $2,600,000",House,4 bedrooms,2 bathrooms,0,253 m² land size
527,Belle Property - Balmain,"4/8 Lookes Avenue, Balmain East",Contact Agent,Apartment,3 bedrooms,2 bathrooms,1 parking space,93 m² building size
528,Richardson & Wrench - Narellan,"9 Allen Street, Oran Park","$719,900",House,4 bedrooms,2 bathrooms,2 parking spaces,400 m² land size
529,MMJ South - Windang,"2/71 Burdekin Drive, Albion Park","$460,000 - $490,000",Villa,3 bedrooms,1 bathroom,1 parking space,N/A
530,McGrath - Long Jetty,"14 Stephenson Road, Bateau Bay",Contact Agent,Residential Land,0,0,0,556 m² land size
531,Starr Partners - Blacktown,"2 Mountfort Street, Lalor Park","Price Guide: $750,000 - $800,000",House,4 bedrooms,3 bathrooms,1 parking space,303 m² land size
532,McGrath - Sutherland Shire,"253 The Boulevarde, Miranda","$800,000 - $880,000",House,2 bedrooms,1 bathroom,1 parking space,N/A
533,McGrath - Sutherland Shire,"11/59 Flora Street, Kirrawee","$650,000",Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
534,McGrath - Terrigal,"16 Warri Crescent, Macmasters Beach",Contact Agent,House,2 bedrooms,2 bathrooms,3 parking spaces,974 m² land size
535,McGrath - Terrigal,"51/61 Karalta Road, Erina","$439,000",Villa,2 bedrooms,1 bathroom,1 parking space,N/A
536,My Property Consultants - Picton,"5/1-7 Barsden Street, Camden","$459,000 - $499,000",Unit,2 bedrooms,1 bathroom,2 parking spaces,N/A
537,McGrath   - Neutral Bay,"1/295 Ernest Street, Neutral Bay","Price guide $1,200,000",Apartment,2 bedrooms,1 bathroom,1 parking space,130 m² building size
538,Seacliff Property,"396 Lawrence Hargrave Drive, Scarborough",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,454 m² land size
539,JKL Real Estate - Forster,"4/91-93 Hind Avenue, Forster","$410,000",Townhouse,3 bedrooms,1 bathroom,1 parking space,N/A
540,Starr Partners - Merrylands,"7 Slapp Street, Merrylands","Price Guide $1,380,000 - $1,430,000",House,5 bedrooms,2 bathrooms,2 parking spaces,619.7 m² land size
541,Property Central - ERINA,"13 Braemar Drive, Wamberal","Guide $899,000",House,4 bedrooms,2 bathrooms,2 parking spaces,753 m² land size
542,Jervis Bay Properties - Huskisson,"51 Hewitt Avenue, St Georges Basin","$550,000 - $590,000",House,4 bedrooms,2 bathrooms,2 parking spaces,350 m² land size
543,Raine & Horne - Southern Highlands,"3 Tulip Close, Bowral","Price Guide $995,000- $1,094,500",House,5 bedrooms,2 bathrooms,3 parking spaces,938 m² land size
544,Ray White - BANORA,"13 Satinash Terrace, Banora Point","$775,000",House,5 bedrooms,3 bathrooms,2 parking spaces,N/A
545,Starr Partners - BELLA VISTA,"32 Millcroft Way, Beaumont Hills",Under Contract,House,4 bedrooms,2 bathrooms,2 parking spaces,461 m² land size
546,Rich and Oliva - Croydon Park / Burwood,"32/135 Croydon Avenue, Croydon Park","For Sale $475,000",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
547,Forster Tuncurry Professionals - Forster,"14 King George Parade, Forster","$789,000",House,3 bedrooms,2 bathrooms,2 parking spaces,669 m² land size
548,Dowling Real Estate - Medowie,"8 Medinah Point, Medowie","$689,000",House,4 bedrooms,2 bathrooms,2 parking spaces,724 m² land size
549,Dowling Real Estate - Medowie,"51 Kindlebark Drive, Medowie","$389,000",House,3 bedrooms,1 bathroom,3 parking spaces,727 m² land size
550,Dowling Real Estate - Medowie,"51 The Esplanade, North Arm Cove",MARKET PREVIEW,House,3 bedrooms,2 bathrooms,1 parking space,563 m² land size
551,Dowling Real Estate - Medowie,"28 Ford Avenue, Medowie","$1,029,000",House,4 bedrooms,3 bathrooms,3 parking spaces,"3,514 m² land size"
552,Dowling Real Estate - Medowie,"61 Sylvan Avenue, Medowie","$759,000",House,5 bedrooms,2 bathrooms,2 parking spaces,"2,191 m² land size"
553,Dowling Real Estate - Medowie,"76 AWABA STREET, Morisset","$500,000 - $530,000",House,4 bedrooms,2 bathrooms,2 parking spaces,450 m² land size
554,Dowling Real Estate - Medowie,"60 Rosewood Drive, Medowie","$585,000",House,4 bedrooms,2 bathrooms,2 parking spaces,628 m² land size
555,PRDnationwide - Perez Real Estate,"2/18 Jauncey Place, Hillsdale","For Sale $625,000",Unit,3 bedrooms,1 bathroom,1 parking space,73.5 m² building size
556,NSW Real Estate - Coffs Harbour,"10 Albert Chappell Drive, Korora","$660,000",House,3 bedrooms,3 bathrooms,2 parking spaces,788.5 m² land size
557,My Property Consultants - CAMPBELLTOWN,"3/263A Camden Valley Way, Narellan","$600,000",Unit,3 bedrooms,2 bathrooms,1 parking space,N/A
558,Unreal Estate Coffs Coast - Coffs Harbour,"8 Koel Place, Boambee East","$449,000 - $469,000",House,3 bedrooms,1 bathroom,2 parking spaces,"1,120 m² land size"
559,Chadwick Real Estate - Turramurra | St Ives | Killara,"9 Macarthur Street, St Ives",For Sale | Contact Agent,House,5 bedrooms,3 bathrooms,2 parking spaces,923.2 m² land size
560,Highland Property Agents  - CRONULLA,"2/3 Wallumatta Road, Caringbah","For Sale - $945,000-$970,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,N/A
561,Ray White - Glenmore Park,"12 Cascade Avenue, Glenmore Park",EXPRESSION OF INTEREST,House,4 bedrooms,3 bathrooms,2 parking spaces,N/A
562,Ray White Thompson Partners - Gorokan,"18 Mulwala Drive, Wyee Point",AUCTION,Residential Land,0,0,0,N/A
563,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"6 Attow Street, Winston Hills",Auction On Site Sat 9th Feb 11am,House,4 bedrooms,2 bathrooms,2 parking spaces,796 m² land size
564,Domain Property Group Central Coast,"39 Starboard Avenue, Bensville",Contact Agent,House,4 bedrooms,2 bathrooms,2 parking spaces,512 m² land size
565,One Agency - Menai Engadine,"8/1 MacMahon Place, Menai",CONTACT AGENT,Unit,3 bedrooms,2 bathrooms,1 parking space,N/A
566,Sutherland Shire Property Agents,"13 Camille Street, Sans Souci","FOR SALE | $1,295,000",House,3 bedrooms,2 bathrooms,1 parking space,N/A
567,O'Meara Property - Nelson Bay,"77 Stockton Street, Nelson Bay","$629,000",Duplex/Semi-detached,4 bedrooms,3 bathrooms,2 parking spaces,N/A
568,Unreal Estate Coffs Coast - Coffs Harbour,"16 Tidal Crescent, Moonee Beach","$950,000 - $980,000",House,4 bedrooms,2 bathrooms,2 parking spaces,775.8 m² land size
569,Century 21 McLeods - Broken Hill,"404 Bromide Street, Broken Hill","$299,000",House,4 bedrooms,2 bathrooms,2 parking spaces,809 m² land size
570,Byron Bay McGrath - Byron Bay,"18/64-70 Broken Head Road, Byron Bay","$825,000 - $880,000",Apartment,3 bedrooms,2 bathrooms,1 parking space,N/A
571,Ray White - Ingleburn,"Address available on request, Glenfield","$720,000",House,4 bedrooms,2 bathrooms,2 parking spaces,389.2 m² land size
572,Belle Property - Charlestown,"1 Aldunga Street, Blacksmiths","$1,150,000",House,4 bedrooms,2 bathrooms,2 parking spaces,588 m² land size
573,Byron Bay Ray White -   ,"22/5-7 Old Bangalow Road, Byron Bay",Contact Agent,Townhouse,3 bedrooms,2 bathrooms,1 parking space,N/A
574,Forster Keys Real Estate - Forster,"Address available on request, Green Point","$649,000",House,4 bedrooms,3 bathrooms,1 parking space,617 m² land size
575,Stone Real Estate - Hunter Valley,"267 Mathieson Street, Bellbird","$335,000 - $355,000",House,3 bedrooms,1 bathroom,0,809 m² land size
576,First National Hills Direct - The Ponds ,"21 Vinegar Hill Road, Kellyville Ridge","$1,250,000",House,6 bedrooms,3 bathrooms,2 parking spaces,N/A
577,PRDnationwide - Coolangatta / Tweed,"2/10 Rose Street, Tweed Heads West","$229,000",Unit,2 bedrooms,1 bathroom,1 parking space,670 m² land size
578,Raine & Horne - Turramurra,"37 EDGEWORTH DAVID AVENUE, Waitara",EXPRESSIONS INTEREST BY JANUARY 31,House,4 bedrooms,3 bathrooms,1 parking space,"3,744 m² land size"
579,Raine & Horne - Mollymook / Milton,"7 Greenview Close, Ulladulla","$999,000",Acreage,3 bedrooms,3 bathrooms,4 parking spaces,1.01 ha land size
580,Gilmour & Orley - Kellyville,"23 Windarra Place, Castle Hill","$1,150,000",House,4 bedrooms,2 bathrooms,2 parking spaces,500 m² land size
581,J Nguyen Property Agents - CANLEY VALE,"11 Dorset Close, Wakeley","For Sale $839,000 - $869,000",House,4 bedrooms,2 bathrooms,3 parking spaces,556 m² land size
582,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"15 Hampden Road, South Wentworthville",For Sale | Contact Agent,House,7 bedrooms,4 bathrooms,4 parking spaces,696 m² land size
583,Belle Property - Dee Why    ,"51 Beach Road, Collaroy",Expressions of Interest,House,4 bedrooms,4 bathrooms,4 parking spaces,607 m² land size
584,Greenwood Group Realtors - Bligh Park,"1A Muscharry Road, Londonderry",JUST LISTED,Residential Land,0,0,0,765 m² land size
585,My Property Consultants - Picton,"13 Tullet Street, Camden Park","$999,000 - $1,049,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
586,Century 21 - Paradise Waters,"2/117 Tomaree Road, Shoal Bay","$489,000",Duplex/Semi-detached,2 bedrooms,2 bathrooms,1 parking space,290 m² land size
587,Martin Property - Zetland,"543/12 Victoria Park Parade, Zetland",UNDER CONTRACT,Apartment,1 bedroom,1 bathroom,1 parking space,N/A
588,McGrath - Port Macquarie,"6 Mahogany Hill, Port Macquarie",Price on request,House,3 bedrooms,2 bathrooms,2 parking spaces,"1,018 m² land size"
589,Laing & Simmons - MIRANDA ,"10/32 Yathong Road, Caringbah","$709,000",Villa,2 bedrooms,1 bathroom,1 parking space,171 m² building size
590,Unreal Estate Coffs Coast - Coffs Harbour,"28 Elk Avenue, Repton","$575,000",House,3 bedrooms,1 bathroom,2 parking spaces,0.6 ha land size
591,Ray White - Lismore,"35 Fernside Road, Fernside","$589,000",Lifestyle,3 bedrooms,1 bathroom,1 parking space,47.25 ha land size
592,Ray White - Macarthur Group,"Address available on request, Leumeah","$449,950",House,2 bedrooms,1 bathroom,1 parking space,582 m² land size
593,Ray White - Carlingford,"7/1 Lloyds Avenue, Carlingford",Auction,Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
594,Charles L. King & Co. First National - Echuca,"5 Pollard Place, Moama","$325,000",House,3 bedrooms,1 bathroom,3 parking spaces,N/A
595,PRDnationwide - Hunter Valley,"31 Nilands Lane, Woodberry",Expression Of Interest CLOSING 26th February 2019,House,5 bedrooms,4 bathrooms,6 parking spaces,2.71 ha land size
596,PRDnationwide - Hunter Valley,"3 Foster Street, Tenambit",PRD PREVIEW,House,4 bedrooms,2 bathrooms,2 parking spaces,670 m² land size
597,PRDnationwide - Newcastle/Lake Macquarie,"5/267 King Street, Newcastle","$518,500",Apartment,2 bedrooms,1 bathroom,0,N/A
598,Forster Keys Real Estate - Forster,"18 King George Parade, Forster","$780,000",House,3 bedrooms,2 bathrooms,2 parking spaces,613 m² land size
599,The Agency - Northern Beaches,"41 Battle Boulevard, Seaforth",Contact Agent,House,6 bedrooms,7 bathrooms,4 parking spaces,"1,429 m² land size"
600,Elders Real Estate Brunswick Heads - BRUNSWICK HEADS,"4 GIN GIN CRESCENT, Ocean Shores","$895,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"2,204 m² land size"
601,The Agency - Northern Beaches,"41 Battle Boulevard, Seaforth",Contact Agent,House,6 bedrooms,7 bathrooms,4 parking spaces,"1,429 m² land size"
602,Elders Real Estate Brunswick Heads - BRUNSWICK HEADS,"4 GIN GIN CRESCENT, Ocean Shores","$895,000",House,4 bedrooms,2 bathrooms,2 parking spaces,"2,204 m² land size"
603,Deville Estate Agency - Castle Hill,"Lot 82-83, Crown Street, Riverstone","Price Guide $490,000 - $520,000",Residential Land,0,0,0,"1,120 m² land size"
604,Ray White - Blackheath,"43 Station Street, Katoomba","$695,000",House,3 bedrooms,1 bathroom,4 parking spaces,746 m² land size
605,LJ Hooker - Maclean,"108 Crisp Drive, Ashby Heights","$495,000",House,3 bedrooms,1 bathroom,5 parking spaces,2.53 ha land size
606,Richard Matthews Real Estate - Strathfield,"38 Boyle Street, Croydon Park",Auction,House,5 bedrooms,2 bathrooms,1 parking space,N/A
607,Richard Matthews Real Estate - Strathfield,"10 Liverpool Road, Summer Hill",Auction,House,3 bedrooms,2 bathrooms,3 parking spaces,N/A
608,Richard Matthews Real Estate - Strathfield,"13 Keswick Street, Georges Hall",Auction,House,5 bedrooms,3 bathrooms,4 parking spaces,N/A
609,jacksonwall - BOWRAL,"Unit 7 502 Moss Vale Road, Bowral","Price guide $470,000-$495,000",Villa,2 bedrooms,1 bathroom,1 parking space,N/A
610,JKL Real Estate - Forster,"1/31 Bent Street, Tuncurry","$540,000",Townhouse,3 bedrooms,2 bathrooms,2 parking spaces,129 m² building size
611,Upstate - Dee Why,"467 Condamine Street, Allambie Heights",Auction,House,3 bedrooms,1 bathroom,1 parking space,467 m² land size
612,Harcourts Southern Highlands - Moss Vale,"115 Newbury Drive, Penrose","Price Guide $1,395,000",House,4 bedrooms,2 bathrooms,6 parking spaces,10.1 ha land size
613,Purplebricks  - New South Wales ,"400 Kissing Point Road, Ermington","Guide: $1,200,000 - $1,300,000",House,3 bedrooms,1 bathroom,1 parking space,897 m² land size
614,McGrath - Terrigal,"2 Old Gosford Road, Wamberal",Contact Agent,House,5 bedrooms,3 bathrooms,2 parking spaces,677 m² land size
615,The Agency Central Coast - Forresters Beach,"20 Sycamore Avenue, Bateau Bay",Contact agent,House,3 bedrooms,2 bathrooms,4 parking spaces,638 m² land size
616,The Agency - Eastern Suburbs,"4/15 Sandridge Street, Bondi","$875,000",Apartment,1 bedroom,1 bathroom,1 parking space,N/A
617,Vesta Property Group,"96/49 Henderson Road, Eveleigh","For Sale: $820,000.00 - $850,000.00",Apartment,2 bedrooms,2 bathrooms,1 parking space,N/A
618,McGrath - Avalon,"17/702 Barrenjoey Road, Avalon Beach","$675,000",Apartment,2 bedrooms,1 bathroom,1 parking space,N/A
619,McGrath - Long Jetty,"50 Bakali Road, Tumbi Umbi",Contact Agent,Acreage,6 bedrooms,4 bathrooms,8 parking spaces,1.31 ha land size
620,McGrath - Long Jetty,"1805 White Haven Avenue, Magenta",Contact Agent,Townhouse,2 bedrooms,2 bathrooms,1 parking space,N/A
621,McGrath - Long Jetty,"7 Eloora Road, Long Jetty",Contact Agent,House,4 bedrooms,2 bathrooms,1 parking space,689 m² land size
622,McGrath Estate Agents - COFFS HARBOUR,"3 Pearl Place, Sandy Beach","$570,000 - $595,000",House,4 bedrooms,2 bathrooms,3 parking spaces,N/A
623,McGrath - Long Jetty,"1/63 Bay Road, Blue Bay","$650,000 - $699,000",Villa,3 bedrooms,1 bathroom,2 parking spaces,N/A
624,McGrath Toukley - TOUKLEY,"109/314 Buff Point Avenue, Buff Point","$260,000 - $285,000",Villa,2 bedrooms,1 bathroom,1 parking space,N/A
625,McGrath - Picton,"12 Hordern Street, Wilton","Price guide $700,000 - $770,000",House,4 bedrooms,2 bathrooms,2 parking spaces,N/A
626,McGrath - Picton,"4 Mount View Close, Razorback",Contact Agent,Acreage,5 bedrooms,3 bathrooms,3 parking spaces,N/A
627,McGrath Estate Agents Inner West - Leichhardt,"8C Wanstead Avenue, Earlwood",Contact Agent,Duplex/Semi-detached,3 bedrooms,2 bathrooms,1 parking space,N/A
628,McGrath - Blacktown ,"23 Highland Avenue, Toongabbie","Expressions of interest Guide $1,100,000",House,3 bedrooms,1 bathroom,1 parking space,"1,220 m² land size"
629,McGrath - Blacktown ,"4/349 Rooty Hill Road North, Plumpton","$550,000",Townhouse,3 bedrooms,1 bathroom,2 parking spaces,N/A
630,Ray White - Ermington,"32 Clarke Street, West Ryde","$1,650,000",House,5 bedrooms,2 bathrooms,2 parking spaces,850 m² land size
631,Ray White - Freshwater,"4/22-24 Shackel Ave, Brookvale",Auction Preview,Apartment,2 bedrooms,2 bathrooms,1 parking space,166 m² building size
632,Century 21 Combined Orange - Orange,"19 Mariposa Street, Orange","$629,000",House,4 bedrooms,2 bathrooms,2 parking spaces,899 m² land size
633,PRD Nationwide Hurstville - HURSTVILLE,"7 Meakem  Street, Hurstville",Auction If Not Sold Prior,House,3 bedrooms,2 bathrooms,2 parking spaces,502 m² land size
634,Ray White - Seaforth,"6 Willawa Street, Balgowlah Heights","Auction - guide $2,100,000",House,4 bedrooms,1 bathroom,2 parking spaces,698 m² land size
635,Ray White - Parramatta/Oatlands/Northmead/Greystanes,"16 Grace Street, Telopea",Auction,House,4 bedrooms,1 bathroom,1 parking space,N/A
636,Ray White - Elizabeth Bay,"15/20 McLachlan Avenue, Rushcutters Bay","For Sale $675,000",Apartment,1 bedroom,1 bathroom,0,N/A
637,PRDnationwide - Hunter Valley,"154 LONDONS Road, Lovedale",Neg Range $1.25 to $1.35 mill,House,5 bedrooms,3 bathrooms,5 parking spaces,10.12 ha land size
638,J Nguyen Property Agents - CANLEY VALE,"2/4 - 8 St Johns Road, Cabramatta","For Sale $429,000 - $449,000",Unit,2 bedrooms,1 bathroom,1 parking space,N/A
639,JSB Property Group,"Lots/105 Myrtle Creek Avenue, Tahmoor","From $335,000",Residential Land,0,0,0,450 m² land size
640,Merc Real Estate - CASTLE HILL,"4 Vaughan Place, Middle Dural","Price Guide: $3,295,000",House,5 bedrooms,4 bathrooms,6 parking spaces,2.02 ha land size
641,Belle Property - Berry,"212 Beach Road, Berry",Contact Agent,House,4 bedrooms,3 bathrooms,4 parking spaces,0.68 ha land size
642,PRD Nationwide Hurstville - HURSTVILLE,"13/42 West Street, Hurstville","$688,000",Unit,2 bedrooms,2 bathrooms,1 parking space,134 m² building size
