,Address,Price,Bedroom,Bathroom,Carpark,Area
59,"1 Woodlands Road, Port Macquarie NSW 2444","$1,590,000",64.75ha ,N/A,0,N/A
60,"38 Squires Crescent, Coledale NSW 2515",Contact agent,5 Beds,2 Baths,2 Parkings,"1,144m² "
61,"3/48-50 Oleander Parade, Caringbah South NSW 2229","Auction, unless sold prior",4 Beds,2 Baths,2 Parkings,N/A
62,"90 Hall Street, Pitt Town NSW 2756",Contact Agent,4 Beds,2 Baths,3 Parkings,"1,500m² "
63,"66 Wetherill Street, Leichhardt NSW 2040",Contact Agent,3 Beds,1 Bath,1 Parking,247m² 
64,"343 Balmain  Road, Lilyfield NSW 2040",Contact Agent,3 Beds,1 Bath,1 Parking,152m² 
65,"28 Cliff Road, Forster NSW 2428","$1,230,000",4 Beds,3 Baths,2 Parkings,569m² 
66,"133 Francis Street, Lilyfield NSW 2040",Contact Agent,3 Beds,1 Bath,1 Parking,N/A
67,"5 Hearn Street, Leichhardt NSW 2040",Contact Agent,3 Beds,2 Baths,− 0 Parkings,N/A
68,"18B Dudley Avenue, Caringbah NSW 2229",FOR SALE,4 Beds,2 Baths,2 Parkings,585m² 
69,Central Mangrove NSW 2250,FOR SALE,1.05ha ,N/A,0,N/A
70,"135B BTU Road, Nowra Hill NSW 2540",Expressions of Interest,4 Beds,2 Baths,4 Parkings,5ha 
71,"3/9 Breakers Way, Korora NSW 2450","$1,075,000",5 Beds,4 Baths,2 Parkings,"2,110m² "
72,"24 Tyndall Street, Mittagong NSW 2575","Price Guide $1,025,000",4 Beds,2 Baths,2 Parkings,695m² 
73,"14 Hartford Avenue, Glen Alpine NSW 2560","$980,000 - $1,040,000",4 Beds,2 Baths,3 Parkings,803m² 
74,"Lot 3 1775 Wombeyan Caves Road, High Range NSW 2575","$975,000",42.78ha ,N/A,0,N/A
75,"9 Taren Road, Caringbah NSW 2229",New Listing,2 Beds,1 Bath,2 Parkings,588.1m² 
76,"44 Meares Road, Mcgraths Hill NSW 2756",Just Listed,4 Beds,3 Baths,2 Parkings,638.6m² 
77,"8/32 Vista Street, Caringbah NSW 2229","$940,000",3 Beds,2 Baths,1 Parking,185m² 
78,"14 Myrtle Street, Colo Vale NSW 2575","$920,000 - $950,000",4 Beds,2 Baths,− 0 Parkings,"3,880m² "
79,"3 Heber Place, Prospect NSW 2148",Expressions of Interest,3 Beds,3 Baths,2 Parkings,N/A
80,"1,2,3/22 Coogee Avenue, The Entrance North NSW 2261",Auction,7 Beds,4 Baths,3 Parkings,552m² 
81,"2/66 Lynwood Avenue, Cromer NSW 2099",Price on Request,2 Beds,2 Baths,2 Parkings,119m² 
82,"4/19 Beeson Street, Leichhardt NSW 2040",Contact Agent,2 Beds,2 Baths,1 Parking,N/A
83,"22 Wingrave Street, Googong NSW 2620","$899,000 - $949,000",4 Beds,2 Baths,2 Parkings,659.4m² 
84,"1 Oxley Place, Point Clare NSW 2250",New To Market,4 Beds,2 Baths,2 Parkings,851m² 
85,"7402/2-10 Mooramba Road, Dee Why NSW 2099",Contact Agent,2 Beds,2 Baths,2 Parkings,N/A
86,"10 Ashburn Close, Lisarow NSW 2250",Contact agent,4 Beds,2 Baths,2 Parkings,"1,095m² "
87,"11/87 Yathong Road, Caringbah NSW 2229","$849,000",2 Beds,1 Bath,2 Parkings,259m² 
88,"335 Crossmaglen Road, Bonville NSW 2450","$795,000",2 Beds,1 Bath,2 Parkings,2ha 
89,"93 Bathurst St, Pitt Town NSW 2756","$795,000 - $845,000",3 Beds,2 Baths,2 Parkings,576m² 
90,"1/3 Commodore  Crescent, Port Macquarie NSW 2444","Guide $780,000 - $820,000",3 Beds,2 Baths,2 Parkings,N/A
91,"6/82 Dee Why Parade, Dee Why NSW 2099","Auction Guide $750,000",2 Beds,1 Bath,1 Parking,N/A
92,"1/291 Taren Point Road, Caringbah NSW 2229",New Listing,3 Beds,1 Bath,2 Parkings,160m² 
93,"26 Waters Park Drive, Moore Creek NSW 2340","$745,000",2.75ha ,N/A,0,N/A
94,"8 Insley Street, Googong NSW 2620","$739,000-$759,000",4 Beds,2 Baths,2 Parkings,640m² 
95,"18 Fairfax Road, Woollamia NSW 2540","$700,000",2 Beds,1 Bath,1 Parking,2.22ha 
96,Jamisontown NSW 2750,"$695,000 - $735,000",3 Beds,1 Bath,2 Parkings,N/A
97,"61 Hurricane Drive, Raby NSW 2566",Forthcoming Auction,3 Beds,2 Baths,4 Parkings,"1,291m² "
98,"16 Montgomery Avenue, Googong NSW 2620","$690,00 - $710,000",4 Beds,2 Baths,2 Parkings,500m² 
99,"40 Daisy Loop, Googong NSW 2620","$689,000",4 Beds,2 Baths,2 Parkings,450m² 
100,"16 Sydney Smith Drive, Penrith NSW 2750","$689,000 - $729,000",4 Beds,2 Baths,2 Parkings,N/A
101,"28 Wallis Avenue, Renwick NSW 2575","Guide $675,000",3 Beds,2 Baths,1 Parking,453m² 
102,"1896 Old Maitland Road, Cessnock NSW 2325","$660,000 - $690,000",3 Beds,3 Baths,2 Parkings,2.01ha 
103,"1547 Oxley Highway, Tamworth NSW 2340",AUCTION,9.71ha ,N/A,0,N/A
104,"24 Palomino Road, Emu Heights NSW 2750","$650,000 - $699,000",4 Beds,2 Baths,2 Parkings,644m² 
105,"23 The Point Drive, Port Macquarie NSW 2444","Auction 17th February, Rydges Hotel at 6pm",5 Beds,2 Baths,2 Parkings,769m² 
106,"136 Avery Street, Rutherford NSW 2320","$640,000",4 Beds,2 Baths,2 Parkings,839m² 
107,"11 Currawong Drive, Port Macquarie NSW 2444","$639,000",4 Beds,2 Baths,2 Parkings,N/A
108,"7 Griffiths Link, Googong NSW 2620","$630,000 - $650,000",3 Beds,2 Baths,2 Parkings,448m² 
